ieta	depth1	depth2	depth3	depth4	depth5	depth6	depth7
-29	4	7	7	0	0	0	0
-28	1	7	1	1	0	0	1
-27	-1	7	3	0	0	-1	-1
-26	0	5	2	1	-1	-2	-5
-25	0	2	-1	1	-3	-8	0
-24	-3	0	-1	-3	-6	-8	0
-23	-5	-1	0	-4	-6	-8	0
-22	-6	-1	-3	-2	-5	-8	0
-21	-8	-1	-3	-4	-7	-8	0
-20	-8	-2	-4	-4	-4	-8	0
-19	-8	-2	-4	-5	-6	-8	0
-18	0	-5	-5	-6	-9	0	0
-17	0	-9	-9	0	0	0	0
-16	0	0	0	-8	0	0	0
16	0	0	0	-8	0	0	0
17	0	-9	-9	0	0	0	0
18	0	-6	-5	-6	-8	0	0
19	-8	-3	-4	-5	-6	-8	0
20	-8	-2	-3	-3	-6	-8	0
21	-8	-2	-4	-4	-5	-8	0
22	-6	-1	-2	-4	-6	-6	0
23	-5	0	-2	-4	-4	-8	0
24	-4	0	-1	-2	-6	-8	0
25	0	3	2	-3	-3	-4	0
26	1	4	2	1	-1	-3	-5
27	1	6	3	1	1	0	-1
28	1	6	2	2	0	0	0
29	4	6	5	0	0	0	0
